title,pagerank,year,group,id
Yuri_Ozerov_(director),200.54406860827015,1921,high,23417065
Grigori_Aleksandrov,35.947837760413314,1903,medium,19056613
Giorgi_Shengelaia,4.928469181530091,1937,low,31157469
Sergei_Gerasimov_(film_director),98.48543795552136,1906,medium,2952161
Vladimir_Gardin,7.8167812245147354,1877,low,4552828
Sarik_Andreasyan,16.98085386207303,1984,low,42055712
Georgi_Gitis,7.856136553436431,1976,low,44534437
Vasily_Livanov,37.72278395251189,1935,medium,3066036
Sergei_Solovyov,18.21916899070233,1944,low,14659256
Vladimir_Khotinenko,12.192798976533867,1952,low,23681824
Oleg_Anofriyev,14.556935235334759,1930,low,20965230
Erast_Garin,1.2999999999999998,1915,low,4615378
Konstantin_Lopushansky,6.051120005993143,1947,low,25907639
Mikheil_Kalatozishvili_(born_1959),4.61502257395263,1959,low,25012264
Vadim_Abdrashitov,13.564269256910153,1945,low,5073763
Valeriu_Gagiu,9.160937846026204,1938,low,17837734
Nikolai_Ekk,3.998222819130417,1902,low,23732556
Ruslan_Vitryanyuk,22.91527146626446,1973,low,35332495
Vladimir_Naumov,6.2117416908224135,1927,low,14630834
Pyotr_Todorovsky,16.04297817675106,1925,low,16507846
Dziga_Vertov,361.06671514679834,1896,high,676
Yuri_Ilyenko,30.601239774120163,1936,medium,41014717
Aleksandr_Alov,27.842926020510834,1923,low,21641042
Sergei_Bondarchuk,50.68331768123551,1920,medium,179307
Tatyana_Lioznova,10.685369207577235,1924,low,3597267
Roman_Karmen,1.2999999999999998,1924,low,2560865
Samvel_Gasparov,1.2999999999999998,1930,low,31200213
Ivan_Okhlobystin,26.402134410734526,1966,low,31302911
Fedor_Bondarchuk,57.667594398037345,1967,medium,10018320
Vasili_Pichul,4.081641214398399,1961,low,5456839
Alexei_Makarov,1.2999999999999998,1937,low,24510732
Yuri_Kara,10.498598358465344,1954,low,31507986
Leonid_Gaidai,65.3107954429332,1923,medium,3165914
Yuri_Mamin,112.01679760967629,1946,high,32323906
Aleksandr_Ptushko,62.886800690860085,1900,medium,1079811
Viktor_Eisymont,6.500869314736802,1904,low,23781436
